week_start,D_tomaten,D_salat,D_gurken,D_paprika
2021-01-04,,,,
2021-01-11,,,,
2021-01-18,,,,
2021-01-25,,,,
2021-02-01,,,,
2021-02-08,,,,
2021-02-15,,,,
2021-02-22,,,,
2021-03-01,57.912087912087905,58.4120879120879,41.912087912087905,48.41208791208793
2021-03-08,53.36996336996336,53.86996336996336,37.369963369963365,43.869963369963386
2021-03-15,54.6153846153846,55.11538461538461,38.61538461538461,45.11538461538463
2021-03-22,53.296703296703285,53.796703296703285,37.29670329670329,43.79670329670331
2021-03-29,58.49816849816849,58.99816849816849,42.498168498168496,48.99816849816852
2021-04-05,58.21794871794881,53.71794871794874,54.71794871794879,43.21794871794879
2021-04-12,55.360805860805954,50.86080586080588,51.860805860805925,40.36080586080593
2021-04-19,56.02014652014662,51.52014652014655,52.52014652014658,41.02014652014659
2021-04-26,57.04578754578764,52.54578754578757,53.545787545787604,42.04578754578762
2021-05-03,52.02060795422252,46.02060795422249,46.020607954222505,32.02060795422249
2021-05-10,54.07189000550458,48.07189000550454,48.07189000550456,34.07189000550454
2021-05-17,55.31731125092582,49.31731125092579,49.317311250925805,35.31731125092578
2021-05-24,55.0975310311456,49.09753103114557,49.097531031145586,35.097531031145564
2021-05-31,54.80449073810531,48.80449073810528,48.804490738105294,34.80449073810527
2021-06-07,45.82600732600734,53.826007326007385,43.32600732600734,34.82600732600732
2021-06-14,46.04578754578756,54.045787545787604,43.54578754578756,35.04578754578754
2021-06-21,48.500000000000014,56.500000000000064,46.00000000000002,37.5
2021-06-28,45.93589743589745,53.935897435897495,43.43589743589745,34.93589743589743
2021-07-05,50.5059559395705,40.50595593957046,55.00595593957047,31.505955939570452
2021-07-12,51.05540648902106,41.05540648902102,55.55540648902102,32.055406489021
2021-07-19,52.11767755129212,42.117677551292076,56.617677551292076,33.11767755129207
2021-07-26,51.641487075101644,41.6414870751016,56.1414870751016,32.641487075101594
2021-08-02,55.875457875457954,52.375457875457954,51.37545787545794,38.875457875457904
2021-08-09,54.117216117216195,50.61721611721619,49.61721611721618,37.117216117216145
2021-08-16,55.655677655677735,52.155677655677735,51.15567765567772,38.65567765567768
2021-08-23,52.94505494505503,49.44505494505502,48.44505494505501,35.94505494505496
2021-08-30,51.40659340659348,47.90659340659348,46.906593406593466,34.40659340659343
2021-09-06,47.99267399267402,51.49267399267401,28.99267399267403,41.992673992673986
2021-09-13,49.970695970696,53.47069597069598,30.970695970696006,43.970695970695964
2021-09-20,47.55311355311358,51.05311355311357,28.55311355311359,41.55311355311355
2021-09-27,47.846153846153875,51.34615384615386,28.846153846153882,41.84615384615384
2021-10-04,54.113553113553095,64.61355311355312,35.613553113553124,45.61355311355311
2021-10-11,51.47619047619045,61.976190476190496,32.97619047619049,42.976190476190474
2021-10-18,50.59706959706958,61.097069597069606,32.097069597069606,42.09706959706959
2021-10-25,50.96336996336994,61.46336996336997,32.46336996336997,42.463369963369956
2021-11-01,60.393311459696974,65.89331145969692,38.393311459696974,55.8933114596969
2021-11-08,58.63506970145521,64.13506970145517,36.63506970145522,54.13506970145514
2021-11-15,55.9244469908325,61.42444699083245,33.92444699083251,51.42444699083243
2021-11-22,57.8292088955944,63.32920889559435,35.82920889559441,53.329208895594334
2021-11-29,53.58012464651015,59.0801246465101,31.58012464651016,49.080124646510086
2021-12-06,48.003663003662965,54.50366300366301,33.003663003663,45.50366300366294
2021-12-13,46.31868131868128,52.818681318681314,31.318681318681318,43.81868131868126
2021-12-20,50.78754578754575,57.28754578754579,35.78754578754579,48.287545787545724
2021-12-27,45.512820512820475,52.01282051282051,30.51282051282051,43.01282051282045
2022-01-03,69.25594882233435,78.25594882233426,60.25594882233436,61.25594882233434
2022-01-10,64.56730413368966,73.56730413368957,55.56730413368967,56.567304133689646
2022-01-17,64.2010037673893,73.20100376738921,55.2010037673893,56.20100376738928
2022-01-24,64.93360449999003,73.93360449998994,55.93360449999003,56.93360449999001
2022-01-31,65.8127253791109,74.81272537911082,56.81272537911091,57.81272537911089
2022-02-07,63.261904761904766,68.76190476190477,27.26190476190477,52.761904761904724
2022-02-14,63.92124542124542,69.42124542124544,27.921245421245434,53.42124542124538
2022-02-21,64.94688644688644,70.44688644688647,28.946886446886456,54.4468864468864
2022-02-28,62.382783882783876,67.8827838827839,26.38278388278389,51.88278388278383
2022-03-07,56.184981684981736,46.18498168498169,50.184981684981686,44.684981684981715
2022-03-14,58.23626373626378,48.23626373626374,52.23626373626373,46.736263736263766
2022-03-21,61.53296703296708,51.532967032967036,55.53296703296703,50.032967032967065
2022-03-28,62.63186813186819,52.631868131868146,56.63186813186813,51.13186813186816
2022-04-04,43.60256410256416,44.60256410256413,45.602564102564166,31.60256410256413
2022-04-11,46.75274725274731,47.75274725274728,48.75274725274732,34.75274725274728
