week_start,basket_index
2021-01-04,
2021-01-11,49.03818325456872
2021-01-18,46.877652119037585
2021-01-25,50.92142501281048
2021-02-01,39.92738095238093
2021-02-08,44.10586080586078
2021-02-15,44.09826007326004
2021-02-22,50.4532051282051
2021-03-01,44.88708791208791
2021-03-08,34.46996336996337
2021-03-15,34.940384615384616
2021-03-22,35.59670329670329
2021-03-29,45.173168498168494
2021-04-05,37.69294871794878
2021-04-12,36.16080586080592
2021-04-19,36.245146520146584
2021-04-26,38.9957875457876
2021-05-03,38.020607954222505
2021-05-10,32.69689000550456
2021-05-17,29.417311250925803
2021-05-24,29.572531031145584
2021-05-31,29.92949073810529
2021-06-07,29.201007326007353
2021-06-14,32.39578754578757
2021-06-21,35.62500000000003
2021-06-28,32.01089743589746
2021-07-05,32.75595593957048
2021-07-12,32.83040648902103
2021-07-19,40.26767755129208
2021-07-26,35.74148707510161
2021-08-02,41.150457875457946
2021-08-09,40.79221611721619
2021-08-16,41.30567765567773
2021-08-23,28.62005494505501
2021-08-30,32.98159340659347
2021-09-06,36.14267399267401
2021-09-13,43.220695970695985
2021-09-20,43.27811355311356
2021-09-27,35.99615384615387
2021-10-04,40.81355311355311
2021-10-11,40.451190476190476
2021-10-18,44.02206959706959
2021-10-25,74.23836996336995
2021-11-01,63.09331145969695
2021-11-08,52.88506970145518
2021-11-15,46.29944699083248
2021-11-22,42.32920889559438
2021-11-29,37.43012464651014
2021-12-06,39.50366300366298
2021-12-13,36.8436813186813
2021-12-20,52.73754578754576
2021-12-27,48.962820512820485
2022-01-03,54.40594882233432
2022-01-10,47.91730413368963
2022-01-17,58.82600376738927
2022-01-24,52.78360449998999
2022-01-31,54.21272537911088
2022-02-07,46.31190476190476
2022-02-14,44.521245421245425
2022-02-21,45.321886446886445
2022-02-28,45.83278388278388
2022-03-07,39.48498168498171
2022-03-14,39.33626373626376
2022-03-21,41.98296703296705
2022-03-28,43.65686813186815
2022-04-04,25.452564102564146
2022-04-11,32.4777472527473
2022-04-18,35.57902930402934
2022-04-25,37.81510989010994
2022-05-02,33.81493029854482
2022-05-09,35.0150218736364
2022-05-16,37.08837352198805
2022-05-23,30.84249440110893
2022-05-30,29.121432130046653
2022-06-06,33.60723443223448
2022-06-13,29.174816849816892
2022-06-20,28.55100732600737
2022-06-27,37.450549450549495
2022-07-04,34.49615740477196
2022-07-11,32.976194034808586
2022-07-18,38.13269586631042
2022-07-25,40.98809879671335
2022-08-01,44.15219780219786
2022-08-08,37.24239926739932
2022-08-15,42.595329670329726
2022-08-22,44.51913919413925
2022-08-29,34.89871794871801
2022-09-05,36.188644688644686
2022-09-12,43.70897435897436
2022-09-19,32.75943223443223
2022-09-26,32.0587912087912
2022-10-03,44.549450549450555
2022-10-10,40.575091575091584
2022-10-17,45.89139194139195
2022-10-24,48.968131868131884
2022-10-31,47.77051282051283
2022-11-07,47.985710727096226
2022-11-14,47.6839708003563
2022-11-21,39.80448362086913
2022-11-28,43.42838471977022
2022-12-05,39.56758241758239
2022-12-12,34.42216117216114
2022-12-19,40.14478021978019
2022-12-26,51.02884615384612
2023-01-02,56.76419058057607
2023-01-09,48.53378765017314
2023-01-16,52.700088016473515
2023-01-23,42.88232244870794
2023-01-30,44.89514296152845
2023-02-06,40.41584249084248
2023-02-13,38.283882783882774
2023-02-20,50.69798534798534
2023-02-27,45.87060439560438
2023-03-06,38.724542124542126
2023-03-13,39.841483516483514
2023-03-20,45.48360805860806
2023-03-27,37.05054945054945
2023-04-03,28.848626373626438
2023-04-10,37.42472527472534
2023-04-17,35.58424908424915
2023-04-24,36.470970695970756
2023-05-01,25.140388174002677
2023-05-08,34.25384971246421
2023-05-15,32.885992569607076
2023-05-22,38.21969220330671
2023-05-29,31.09295227656677
2023-06-05,32.115934065934084
2023-06-12,36.30457875457878
2023-06-19,34.86895604395607
2023-06-26,34.31327838827841
2023-07-03,37.02335520696973
2023-07-10,38.14963725825179
2023-07-17,41.120058503673036
2023-07-24,37.16291564653018
2023-07-31,29.8087947674093
2023-08-07,37.1561355311356
2023-08-14,37.43699633699641
2023-08-21,41.34532967032973
2023-08-28,40.021978021978086
2023-09-04,41.36419413919415
2023-09-11,44.801098901098904
2023-09-18,49.35622710622711
2023-09-25,47.86831501831502
2023-10-02,50.025915750915715
2023-10-09,51.31529304029301
2023-10-16,48.12921245421242
2023-10-23,43.932509157509124
2023-10-30,50.517490842490815
2023-11-06,49.37179131317677
2023-11-13,46.95072904211451
2023-11-20,47.02627849266395
2023-11-27,37.42078398716945
2023-12-04,36.86630036630034
2023-12-11,38.05714285714283
2023-12-18,41.16602564102562
2023-12-25,50.95558608058606
2024-01-01,48.3053077966933
2024-01-08,48.96144332782883
2024-01-15,44.597981789367296
2024-01-22,46.98580230218781
2024-01-29,50.016846258231766
2024-02-05,47.14981684981682
2024-02-12,50.92536630036628
2024-02-19,49.59642857142855
2024-02-26,50.67948717948715
2024-03-04,43.349816849816854
2024-03-11,37.23928571428573
2024-03-18,44.39990842490844
2024-03-25,39.481227106227124
2024-04-01,37.54075091575098
2024-04-08,42.398992673992744
2024-04-15,34.400732600732674
2024-04-22,34.756135531135605
2024-04-29,39.86684981684989
2024-05-06,37.533153741768295
2024-05-13,38.09002187363643
2024-05-20,46.23205484066939
2024-05-27,33.79487535348991
2024-06-03,26.871794871794933
2024-06-10,29.469413919413984
2024-06-17,24.99789377289384
2024-06-24,28.290476190476255
2024-07-01,38.30897791759245
2024-07-08,35.17445410806864
2024-07-15,35.38223799085252
2024-07-22,35.57527828389282
2024-07-29,32.79084604946058
2024-08-05,44.2539377289378
2024-08-12,44.74175824175832
2024-08-19,42.87554945054953
2024-08-26,42.65979853479861
2024-09-02,40.002838827838836
2024-09-09,48.72673992673993
2024-09-16,43.12225274725276
2024-09-23,44.56309523809525
2024-09-30,46.305952380952384
2024-10-07,51.872710622710606
2024-10-14,48.15357142857141
2024-10-21,46.30183150183149
2024-10-28,46.089010989010966
2024-11-04,56.04853123991672
2024-11-11,48.37032611171159
2024-11-18,44.922707064092535
2024-11-25,44.3121759285614
2024-12-02,46.431684981684946
2024-12-09,48.43864468864465
2024-12-16,37.38452380952376
2024-12-23,53.81666666666662
2024-12-30,44.5251831501831
2025-01-06,48.48882428020976
2025-01-13,51.0736228150083
