date,consumer_confidence,cpi_index,inflation_rate,food_price_index,consumer_confidence_mom_change,cpi_index_mom_change,inflation_rate_mom_change,food_price_index_mom_change,economic_sentiment,inflation_category
1996-01-01,,,,75.7,,,,,neutral,
1996-02-01,,,,76.3,,,,0.7926023778071167,neutral,
1996-03-01,,,,76.7,,,,0.5242463958060384,neutral,
1996-04-01,,,,77.0,,,,0.39113428943937656,neutral,
1996-05-01,,,,76.8,,,,-0.2597402597402598,neutral,
1996-06-01,,,,76.8,,,,0.0,neutral,
1996-07-01,,,,76.7,,,,-0.13020833333332593,neutral,
1996-08-01,,,,75.9,,,,-1.04302477183833,neutral,
1996-09-01,,,,75.3,,,,-0.7905138339921014,neutral,
1996-10-01,,,,75.0,,,,-0.3984063745019917,neutral,
1996-11-01,,,,75.0,,,,0.0,neutral,
1996-12-01,,,,75.2,,,,0.2666666666666595,neutral,
1997-01-01,,,,76.6,,,,1.8617021276595702,neutral,
1997-02-01,,,,76.8,,,,0.26109660574413773,neutral,
1997-03-01,,,,76.5,,,,-0.390625,neutral,
1997-04-01,,,,76.9,,,,0.5228758169934622,neutral,
1997-05-01,,,,77.6,,,,0.910273081924573,neutral,
1997-06-01,,,,78.0,,,,0.5154639175257714,neutral,
1997-07-01,,,,77.6,,,,-0.5128205128205221,neutral,
