datetime,Average Tone,query_name
2024-05-07 00:00:00+00:00,1.2546,organic_food
2024-05-08 00:00:00+00:00,0.0,organic_food
2024-05-09 00:00:00+00:00,0.0,organic_food
2024-05-10 00:00:00+00:00,0.0,organic_food
2024-05-11 00:00:00+00:00,0.0,organic_food
2024-05-12 00:00:00+00:00,0.0,organic_food
2024-05-13 00:00:00+00:00,0.0,organic_food
2024-05-14 00:00:00+00:00,0.6427,organic_food
2024-05-15 00:00:00+00:00,0.0,organic_food
2024-05-16 00:00:00+00:00,-0.5172,organic_food
2024-05-17 00:00:00+00:00,0.0,organic_food
2024-05-18 00:00:00+00:00,1.4073,organic_food
2024-05-19 00:00:00+00:00,0.0,organic_food
2024-05-20 00:00:00+00:00,0.0,organic_food
2024-05-21 00:00:00+00:00,0.0,organic_food
2024-05-22 00:00:00+00:00,0.0,organic_food
2024-05-23 00:00:00+00:00,0.0,organic_food
2024-05-24 00:00:00+00:00,0.0,organic_food
2024-05-25 00:00:00+00:00,0.0,organic_food
2024-05-26 00:00:00+00:00,0.0,organic_food
2024-05-27 00:00:00+00:00,0.0,organic_food
2024-05-28 00:00:00+00:00,-0.7825,organic_food
2024-05-29 00:00:00+00:00,-0.3419,organic_food
2024-05-30 00:00:00+00:00,0.0,organic_food
2024-05-31 00:00:00+00:00,-1.4516,organic_food
2024-06-01 00:00:00+00:00,0.0,organic_food
2024-06-02 00:00:00+00:00,0.0,organic_food
2024-06-03 00:00:00+00:00,-6.0443,organic_food
2024-06-04 00:00:00+00:00,0.0,organic_food
2024-06-05 00:00:00+00:00,0.0,organic_food
2024-06-06 00:00:00+00:00,0.0,organic_food
2024-06-07 00:00:00+00:00,1.4815,organic_food
2024-06-08 00:00:00+00:00,0.0,organic_food
2024-06-09 00:00:00+00:00,0.0,organic_food
2024-06-10 00:00:00+00:00,1.3631,organic_food
2024-06-11 00:00:00+00:00,0.0,organic_food
2024-06-12 00:00:00+00:00,0.0,organic_food
2024-06-13 00:00:00+00:00,0.0,organic_food
2024-06-14 00:00:00+00:00,0.0,organic_food
2024-06-15 00:00:00+00:00,0.0,organic_food
2024-06-16 00:00:00+00:00,0.0,organic_food
2024-06-17 00:00:00+00:00,-0.5177,organic_food
2024-06-18 00:00:00+00:00,0.167,organic_food
2024-06-19 00:00:00+00:00,0.0,organic_food
2024-06-20 00:00:00+00:00,0.0,organic_food
2024-06-21 00:00:00+00:00,0.0,organic_food
2024-06-22 00:00:00+00:00,1.3189,organic_food
2024-06-23 00:00:00+00:00,0.0,organic_food
2024-06-24 00:00:00+00:00,0.0,organic_food
2024-06-25 00:00:00+00:00,0.0,organic_food
2024-06-26 00:00:00+00:00,0.0,organic_food
2024-06-27 00:00:00+00:00,-0.6785,organic_food
2024-06-28 00:00:00+00:00,0.0,organic_food
2024-06-29 00:00:00+00:00,0.0,organic_food
2024-06-30 00:00:00+00:00,1.3333,organic_food
2024-07-01 00:00:00+00:00,0.0,organic_food
2024-07-02 00:00:00+00:00,-4.1935,organic_food
2024-07-03 00:00:00+00:00,1.1166,organic_food
2024-07-04 00:00:00+00:00,-0.5102,organic_food
2024-07-05 00:00:00+00:00,0.0,organic_food
2024-07-06 00:00:00+00:00,0.0,organic_food
2024-07-07 00:00:00+00:00,0.0,organic_food
2024-07-08 00:00:00+00:00,0.0,organic_food
2024-07-09 00:00:00+00:00,-0.1851,organic_food
2024-07-10 00:00:00+00:00,0.0,organic_food
2024-07-11 00:00:00+00:00,0.0,organic_food
2024-07-12 00:00:00+00:00,0.0,organic_food
2024-07-13 00:00:00+00:00,-0.6768,organic_food
2024-07-14 00:00:00+00:00,0.0,organic_food
2024-07-15 00:00:00+00:00,0.0,organic_food
2024-07-16 00:00:00+00:00,0.0,organic_food
2024-07-17 00:00:00+00:00,-0.4494,organic_food
2024-07-18 00:00:00+00:00,0.0,organic_food
2024-07-19 00:00:00+00:00,0.0,organic_food
2024-07-20 00:00:00+00:00,0.0,organic_food
2024-07-21 00:00:00+00:00,0.0,organic_food
2024-07-22 00:00:00+00:00,0.0,organic_food
2024-07-23 00:00:00+00:00,0.0,organic_food
2024-07-24 00:00:00+00:00,0.0,organic_food
2024-07-25 00:00:00+00:00,0.0,organic_food
2024-07-26 00:00:00+00:00,0.0,organic_food
2024-07-27 00:00:00+00:00,0.0,organic_food
2024-07-28 00:00:00+00:00,0.0,organic_food
2024-07-29 00:00:00+00:00,2.7088,organic_food
2024-07-30 00:00:00+00:00,0.0,organic_food
2024-07-31 00:00:00+00:00,0.0,organic_food
2024-08-01 00:00:00+00:00,0.0,organic_food
2024-08-02 00:00:00+00:00,0.0,organic_food
2024-08-03 00:00:00+00:00,0.0,organic_food
2024-08-04 00:00:00+00:00,0.0,organic_food
2024-08-05 00:00:00+00:00,0.0,organic_food
2024-08-06 00:00:00+00:00,0.0,organic_food
2024-08-07 00:00:00+00:00,-1.2938,organic_food
2024-08-08 00:00:00+00:00,0.0,organic_food
2024-08-09 00:00:00+00:00,0.0,organic_food
2024-08-10 00:00:00+00:00,0.0,organic_food
2024-08-11 00:00:00+00:00,0.0,organic_food
2024-08-12 00:00:00+00:00,0.0,organic_food
2024-08-13 00:00:00+00:00,0.0,organic_food
2024-08-14 00:00:00+00:00,5.0633,organic_food
2024-08-15 00:00:00+00:00,0.0,organic_food
2024-08-16 00:00:00+00:00,0.0,organic_food
2024-08-17 00:00:00+00:00,0.0,organic_food
2024-08-18 00:00:00+00:00,0.0,organic_food
2024-08-19 00:00:00+00:00,0.0,organic_food
2024-08-20 00:00:00+00:00,0.0,organic_food
2024-08-21 00:00:00+00:00,-1.9002,organic_food
2024-08-22 00:00:00+00:00,0.0,organic_food
2024-08-23 00:00:00+00:00,4.6595,organic_food
2024-08-24 00:00:00+00:00,0.78,organic_food
2024-08-25 00:00:00+00:00,0.7899,organic_food
2024-08-26 00:00:00+00:00,0.0,organic_food
2024-08-27 00:00:00+00:00,0.0,organic_food
2024-08-28 00:00:00+00:00,5.7061,organic_food
2024-08-29 00:00:00+00:00,1.5674,organic_food
2024-08-30 00:00:00+00:00,0.0,organic_food
2024-08-31 00:00:00+00:00,0.0,organic_food
2024-09-01 00:00:00+00:00,0.0,organic_food
2024-09-02 00:00:00+00:00,1.0767,organic_food
2024-09-03 00:00:00+00:00,-5.2789,organic_food
2024-09-04 00:00:00+00:00,-0.0779,organic_food
2024-09-05 00:00:00+00:00,-3.3466,organic_food
2024-09-06 00:00:00+00:00,0.0,organic_food
2024-09-07 00:00:00+00:00,0.0,organic_food
2024-09-08 00:00:00+00:00,0.2663,organic_food
2024-09-09 00:00:00+00:00,0.0,organic_food
2024-09-10 00:00:00+00:00,1.0753,organic_food
2024-09-11 00:00:00+00:00,3.4767,organic_food
2024-09-12 00:00:00+00:00,1.3715,organic_food
2024-09-13 00:00:00+00:00,0.4408,organic_food
2024-09-14 00:00:00+00:00,0.015,organic_food
2024-09-15 00:00:00+00:00,1.8664,organic_food
2024-09-16 00:00:00+00:00,0.0,organic_food
2024-09-17 00:00:00+00:00,-1.6827,organic_food
2024-09-18 00:00:00+00:00,2.3572,organic_food
2024-09-19 00:00:00+00:00,1.1259,organic_food
2024-09-20 00:00:00+00:00,2.7644,organic_food
2024-09-21 00:00:00+00:00,0.0,organic_food
2024-09-22 00:00:00+00:00,0.0,organic_food
2024-09-23 00:00:00+00:00,-0.4524,organic_food
2024-09-24 00:00:00+00:00,0.6525,organic_food
2024-09-25 00:00:00+00:00,3.6036,organic_food
2024-09-26 00:00:00+00:00,-3.8226,organic_food
2024-09-27 00:00:00+00:00,0.0,organic_food
2024-09-28 00:00:00+00:00,4.1841,organic_food
2024-09-29 00:00:00+00:00,0.0,organic_food
2024-09-30 00:00:00+00:00,-0.8625,organic_food
2024-10-01 00:00:00+00:00,0.0,organic_food
2024-10-02 00:00:00+00:00,3.653,organic_food
2024-10-03 00:00:00+00:00,0.0,organic_food
2024-10-04 00:00:00+00:00,0.0,organic_food
2024-10-05 00:00:00+00:00,1.6418,organic_food
2024-10-06 00:00:00+00:00,0.0,organic_food
2024-10-07 00:00:00+00:00,0.0,organic_food
