time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,sunshine_duration,et0_fao_evapotranspiration,is_forecast,day_of_year,temp_historical_mean,precip_historical_mean,temp_anomaly,precip_anomaly,temp_anomaly_category,temp_range,is_rainy,is_hot,is_cold,is_windy,month,season,day_of_week,is_weekend
2023-01-16,6.7,1.8,4.2,0.0,0.0,0.0,0.0,24.1,42.8,22785.88,1.02,False,16,1.7,1.0333333333333334,2.5,-1.0333333333333334,warm,4.9,False,False,True,False,1,winter,0,False
2023-01-17,4.2,-2.3,2.5,0.7,0.6,0.07,4.0,27.2,46.4,13362.92,0.64,False,17,-0.20000000000000004,0.9666666666666668,2.7,-0.26666666666666683,warm,6.5,False,False,True,False,1,winter,1,False
2023-01-18,1.8,-4.1,-1.4,1.2,0.4,0.56,6.0,10.2,17.3,0.0,0.23,False,18,-2.033333333333333,0.4666666666666666,0.6333333333333333,0.7333333333333334,normal,5.8999999999999995,True,False,True,False,1,winter,2,False
2023-01-19,2.0,-3.8,-1.1,0.0,0.0,0.0,0.0,17.9,31.0,18568.58,0.44,False,19,-0.8333333333333334,0.0,-0.2666666666666667,0.0,normal,5.8,False,False,True,False,1,winter,3,False
2023-01-20,1.9,-4.1,-1.9,0.2,0.0,0.14,1.0,10.0,13.3,18098.33,0.31,False,20,0.03333333333333336,0.06666666666666667,-1.9333333333333333,0.13333333333333336,normal,6.0,False,False,True,False,1,winter,4,False
2023-01-21,3.0,-1.6,0.7,5.4,1.0,3.08,8.0,28.8,49.7,0.0,0.45,False,21,-0.6333333333333333,1.8,1.3333333333333333,3.6000000000000005,normal,4.6,True,False,True,False,1,winter,5,True
2023-01-22,1.8,0.8,1.1,1.0,0.3,0.49,4.0,20.9,37.4,0.0,0.19,False,22,0.8749999999999999,1.025,0.2250000000000002,-0.02499999999999991,normal,1.0,False,False,True,False,1,winter,6,True
2023-01-23,2.5,-0.8,0.8,0.0,0.0,0.0,0.0,11.7,22.0,14441.35,0.32,False,23,0.5249999999999999,1.175,0.27500000000000013,-1.175,normal,3.3,False,False,True,False,1,winter,0,False
2023-01-24,2.0,-3.0,-0.5,0.0,0.0,0.0,0.0,9.3,17.6,13030.74,0.31,False,24,2.275,1.875,-2.775,-1.875,cold,5.0,False,False,True,False,1,winter,1,False
2023-01-25,1.6,0.0,0.6,0.0,0.0,0.0,0.0,8.6,19.1,0.0,0.22,False,25,3.45,0.22499999999999998,-2.85,-0.22499999999999998,cold,1.6,False,False,True,False,1,winter,2,False
2023-01-26,0.2,-1.1,-0.5,0.0,0.0,0.0,0.0,8.9,18.0,0.0,0.23,False,26,2.275,5.55,-2.775,-5.55,cold,1.3,False,False,True,False,1,winter,3,False
2023-01-27,3.0,-2.5,0.8,0.3,0.2,0.07,3.0,20.1,36.7,0.0,0.3,False,27,3.0,0.5,-2.2,-0.2,cold,5.5,False,False,True,False,1,winter,4,False
2023-01-28,1.8,-2.8,-0.6,0.0,0.0,0.0,0.0,11.8,19.4,6314.38,0.38,False,28,1.95,0.6,-2.55,-0.6,cold,4.6,False,False,True,False,1,winter,5,True
2023-01-29,2.5,-1.4,1.1,0.2,0.0,0.14,2.0,23.5,39.2,0.0,0.52,False,29,2.725,0.625,-1.625,-0.425,normal,3.9,False,False,True,False,1,winter,6,True
2023-01-30,4.8,1.3,3.2,5.9,5.4,0.35,14.0,33.5,58.3,7538.89,0.66,False,30,3.125,1.625,0.07500000000000018,4.275,normal,3.5,True,False,True,False,1,winter,0,False
2023-01-31,5.4,1.6,3.5,4.8,4.8,0.0,10.0,33.5,62.6,0.0,0.55,False,31,3.375,2.0,0.125,2.8,normal,3.8000000000000003,True,False,True,False,1,winter,1,False
