week_start,gt_bio_tomaten,gt_bio_salat,gt_bio_gurken,gt_bio_paprika,temp_mean_weekly,precip_sum_weekly,sunshine_hours_weekly,consumer_confidence,food_price_index,inflation_rate,gt_norm_bio_tomaten,gt_norm_bio_salat,gt_norm_bio_gurken,gt_norm_bio_paprika,week_of_year,month,quarter,year
2021-01-04,,,,,0.5,15.299999999999999,5.897074999999999,99.38899,111.6,1.202461567704982,,,,,1,1,1,2021
2021-01-11,,,,,0.8428571428571429,6.7,3.143272222222222,99.38899,111.6,1.202461567704982,,,,,2,1,1,2021
2021-01-18,,,,,-0.5285714285714286,19.0,8.408716666666665,99.38899,111.6,1.202461567704982,,,,,3,1,1,2021
2021-01-25,,,,,3.557142857142857,18.6,13.89903611111111,99.38899,111.6,1.202461567704982,,,,,4,1,1,2021
2021-02-01,,,,,-1.5285714285714285,5.8,35.49664166666667,99.55241,112.4,1.4984772651037035,,,,,5,2,1,2021
2021-02-08,,,,,-1.7428571428571427,28.9,4.6050916666666675,99.55241,112.4,1.4984772651037035,,,,,6,2,1,2021
2021-02-15,,,,,-8.728571428571428,4.8,52.408794444444446,99.55241,112.4,1.4984772651037035,,,,,7,2,1,2021
2021-02-22,,,,,4.4,7.0,45.87042777777777,99.55241,112.4,1.4984772651037035,,,,,8,2,1,2021
2021-03-01,70.0,71.0,38.0,51.0,7.1571428571428575,4.1,42.15405555555555,99.86309,112.4,1.7946053088239822,0.7,0.71,0.38,0.51,9,3,1,2021
2021-03-08,70.0,71.0,38.0,51.0,2.4857142857142853,1.0999999999999999,50.49936666666667,99.86309,112.4,1.7946053088239822,0.7,0.71,0.38,0.51,10,3,1,2021
2021-03-15,70.0,71.0,38.0,51.0,3.9857142857142853,23.9,40.62708333333333,99.86309,112.4,1.7946053088239822,0.7,0.71,0.38,0.51,11,3,1,2021
2021-03-22,70.0,71.0,38.0,51.0,2.3857142857142857,8.7,59.322286111111104,99.86309,112.4,1.7946053088239822,0.7,0.71,0.38,0.51,12,3,1,2021
2021-03-29,70.0,71.0,38.0,51.0,7.642857142857143,4.0,50.380583333333334,99.86309,112.4,1.7946053088239822,0.7,0.71,0.38,0.51,13,3,1,2021
2021-04-05,84.0,75.0,77.0,54.0,7.914285714285714,5.5,65.6271888888889,100.1951,113.8,1.9920623598844056,0.84,0.75,0.77,0.54,14,4,2,2021
2021-04-12,84.0,75.0,77.0,54.0,5.4,12.700000000000001,55.882574999999996,100.1951,113.8,1.9920623598844056,0.84,0.75,0.77,0.54,15,4,2,2021
2021-04-19,84.0,75.0,77.0,54.0,6.200000000000001,11.399999999999999,59.796794444444444,100.1951,113.8,1.9920623598844056,0.84,0.75,0.77,0.54,16,4,2,2021
2021-04-26,84.0,75.0,77.0,54.0,7.014285714285714,1.7,78.77790277777778,100.1951,113.8,1.9920623598844056,0.84,0.75,0.77,0.54,17,4,2,2021
