product,weather_var,lag,coefficient,std_error,t_stat,p_value,significant
tomaten,temp_mean_weekly,0,0.015184044859413786,0.0029162941173525706,5.20662328571919,1.9230794348220642e-07,True
tomaten,temp_mean_weekly,1,0.0054746220653222755,0.002617837850151093,2.0912762282072963,0.036503309494389256,True
tomaten,temp_mean_weekly,2,0.0017870789378413234,0.0025690671393041975,0.6956139489314138,0.48667062822377327,False
tomaten,temp_mean_weekly,3,-0.0042263619978486,0.002670045744759467,-1.582879996023939,0.11344881897036957,False
tomaten,temp_mean_weekly,4,-0.01882126093483654,0.002871882449360642,-6.553632074678633,5.6154222034577845e-11,True
tomaten,sunshine_hours_weekly,0,0.0037354548812105473,0.000533831569958281,6.997440937227585,2.6067989439212314e-12,True
tomaten,sunshine_hours_weekly,1,0.002291803238253992,0.000515887036542951,4.442451691773,8.893960591339449e-06,True
tomaten,sunshine_hours_weekly,2,0.0008785125437362496,0.0005295741142015939,1.6589038628912756,0.0971351661343671,False
tomaten,sunshine_hours_weekly,3,-0.0012698650498499382,0.0004555309323657657,-2.7876593215195933,0.005309034168184773,True
tomaten,sunshine_hours_weekly,4,-0.0036865343865253924,0.0005628223602837208,-6.550085154163025,5.750428411505266e-11,True
salat,temp_mean_weekly,0,0.009585696311421277,0.0027180953229503043,3.5266225692985143,0.0004208962970284605,True
salat,temp_mean_weekly,1,0.0009026170193910264,0.0025006824223453355,0.36094828008767366,0.718138110737286,False
salat,temp_mean_weekly,2,-0.001522727304566612,0.0023049173679866096,-0.6606429044771979,0.508841347336803,False
salat,temp_mean_weekly,3,-0.0016987239297388745,0.002175882854545645,-0.7807056001154034,0.4349756661493386,False
salat,temp_mean_weekly,4,-0.011585963732950653,0.0026576858041863364,-4.359418150445272,1.3040871774670079e-05,True
salat,sunshine_hours_weekly,0,0.001970493072581599,0.0006125487101964084,3.2168757190751043,0.0012959472360139512,True
salat,sunshine_hours_weekly,1,0.0012706512941306198,0.0005376752688115107,2.3632318014910663,0.018116334189366663,True
salat,sunshine_hours_weekly,2,0.0005595559337929387,0.0005005028725730348,1.1179874571275048,0.26357235037767557,False
salat,sunshine_hours_weekly,3,-0.0010336380264795032,0.00044865331158130354,-2.3038680419774202,0.02123005215033619,True
salat,sunshine_hours_weekly,4,-0.002637713880264635,0.0006604953263384609,-3.993539053314933,6.509435140700316e-05,True
gurken,temp_mean_weekly,0,0.026583790576189547,0.004311084339133539,6.166381468086166,6.987041104854589e-10,True
gurken,temp_mean_weekly,1,0.008836625439931634,0.004236359549604564,2.0859007212351637,0.036987616955869475,True
gurken,temp_mean_weekly,2,0.0011260808827176744,0.0035763218077476647,0.3148712401322939,0.7528594187637684,False
gurken,temp_mean_weekly,3,-0.007704047549031436,0.004224724521282226,-1.8235621068834136,0.06821829967747362,False
gurken,temp_mean_weekly,4,-0.025738906084921333,0.003973884407141058,-6.477014288253729,9.355533698144055e-11,True
gurken,sunshine_hours_weekly,0,0.004354836608894633,0.0009766354547439734,4.459019573517593,8.233540279790405e-06,True
gurken,sunshine_hours_weekly,1,0.0031144262504805365,0.0009184071140462056,3.3911172973817445,0.0006960830280441307,True
gurken,sunshine_hours_weekly,2,0.0017262761068672344,0.0009045443323330007,1.90844831498178,0.05633329730364676,False
gurken,sunshine_hours_weekly,3,-0.0009545619489195409,0.0009290572605693306,-1.0274522243489932,0.304207570950784,False
gurken,sunshine_hours_weekly,4,-0.0039355893342738054,0.001070156755315161,-3.6775821062913114,0.00023545529662625923,True
paprika,temp_mean_weekly,0,-0.000323084042417845,0.0026734552945130836,-0.12084886666365159,0.9038107437112143,False
paprika,temp_mean_weekly,1,-0.0004993976369142262,0.0026223837084926884,-0.19043652357086727,0.8489670796429746,False
paprika,temp_mean_weekly,2,-0.0011803867607190846,0.0022607564629550485,-0.5221202637528652,0.6015865984753843,False
paprika,temp_mean_weekly,3,-0.001556549028623167,0.002046099196810715,-0.7607397681644091,0.4468125166157926,False
paprika,temp_mean_weekly,4,-0.006043009346409334,0.0026574952168918805,-2.2739492842726694,0.02296903598332457,True
paprika,sunshine_hours_weekly,0,0.001289091625335832,0.0005364614836996453,2.40295280184098,0.016263286335821414,True
paprika,sunshine_hours_weekly,1,0.0004128040144523127,0.00042146983717570853,0.9794390441283628,0.32736309323125623,False
paprika,sunshine_hours_weekly,2,-0.0003193288180511267,0.0003289145010501854,-0.9708566117685515,0.3316196868426107,False
paprika,sunshine_hours_weekly,3,-0.001213147675893948,0.0003788599133589158,-3.202100916769897,0.00136429193969639,True
paprika,sunshine_hours_weekly,4,-0.001989756773751299,0.000535555727371559,-3.71531228601882,0.00020295288564745325,True
