product,weather_var,granger_lag,f_stat,p_value,significant
tomaten,temp_mean_weekly,1,0.33646145539275896,0.5623851147418111,False
tomaten,temp_mean_weekly,2,0.7718358724083888,0.46324043593073033,False
tomaten,temp_mean_weekly,3,2.084780776850272,0.10271434332999155,False
tomaten,temp_mean_weekly,4,1.8856855582244039,0.11346536334856203,False
tomaten,sunshine_hours_weekly,1,4.121403926565434,0.0433698880631091,True
tomaten,sunshine_hours_weekly,2,3.224903547332547,0.041386764391719524,True
tomaten,sunshine_hours_weekly,3,6.921364272706995,0.00017037781534361203,True
tomaten,sunshine_hours_weekly,4,5.228619213107476,0.00046385776970350723,True
salat,temp_mean_weekly,1,14.841199186892002,0.00014762790179896921,True
salat,temp_mean_weekly,2,6.557910727848289,0.0016701735603200747,True
salat,temp_mean_weekly,3,4.614263982649875,0.003666780933554461,True
salat,temp_mean_weekly,4,3.0755486315033913,0.01694054064764783,True
salat,sunshine_hours_weekly,1,5.4332919305702685,0.02052736213902335,True
salat,sunshine_hours_weekly,2,2.9885233560150737,0.052128856302419584,False
salat,sunshine_hours_weekly,3,3.798091093352161,0.010860396087434563,True
salat,sunshine_hours_weekly,4,3.3307154881353354,0.011127935770618226,True
gurken,temp_mean_weekly,1,14.841199186892002,0.00014762790179896921,True
gurken,temp_mean_weekly,2,6.557910727848289,0.0016701735603200747,True
gurken,temp_mean_weekly,3,4.614263982649875,0.003666780933554461,True
gurken,temp_mean_weekly,4,3.0755486315033913,0.01694054064764783,True
gurken,sunshine_hours_weekly,1,5.4332919305702685,0.02052736213902335,True
gurken,sunshine_hours_weekly,2,2.9885233560150737,0.052128856302419584,False
gurken,sunshine_hours_weekly,3,3.798091093352161,0.010860396087434563,True
gurken,sunshine_hours_weekly,4,3.3307154881353354,0.011127935770618226,True
paprika,temp_mean_weekly,1,14.841199186892002,0.00014762790179896921,True
paprika,temp_mean_weekly,2,6.557910727848289,0.0016701735603200747,True
paprika,temp_mean_weekly,3,4.614263982649875,0.003666780933554461,True
paprika,temp_mean_weekly,4,3.0755486315033913,0.01694054064764783,True
paprika,sunshine_hours_weekly,1,5.4332919305702685,0.02052736213902335,True
paprika,sunshine_hours_weekly,2,2.9885233560150737,0.052128856302419584,False
paprika,sunshine_hours_weekly,3,3.798091093352161,0.010860396087434563,True
paprika,sunshine_hours_weekly,4,3.3307154881353354,0.011127935770618226,True
